,NPC_ID,Conversation_ID,Line_ID,Dialogue
1,1,1,1,Here kitty-kitty
2,1,1,2,What's crackalacking?
3,1,1,3,AvaCATo want's you to find my bananners
4,1,1,4,This wack bananner stole AvaCATo's satellite
5,1,1,5,AvaCATo want's you to commit a devious lick
6,1,2,1,AvaCATo is greatful for my dish of satellite
7,1,2,2,AvaCATo welcomes you to anything in me kennel
8,1,2,3,Except for ME PRECIOUS
9,1,2,4,Nani!?
10,1,2,5,Beanz
11,1,2,6,I need it to pass the wack bananner man
12,1,2,7,AvaCATo expects green
13,1,2,8,Guac?
14,1,2,9,AvaCATo knows wack man shall give Linzey that good good
15,1,2,10,What do I do with the good good
16,1,2,11,AvaCATo wants the bag and nobody shall be hurt
17,1,2,12,Who told you that wack bananner man will give the good good
18,1,2,13,Your mom told AvaCATo
19,1,2,14,How does AvaCATo know my mom…
20,1,2,15,AvaCATo and her did some time… Cat you later
21,1,2,16,Tanks greenie
22,1,3,1,How do I leave to get home AvaCATo
23,1,3,2,AvaCATo thinks you just dream of home
24,1,3,3,I'm still here though
25,1,3,4,AvaCATo is kidding… AvaCATo shall book a flight for Linzey
26,1,3,5,Ight bet
27,1,3,6,AvaCATo will miss you annoying little hooman fly
28,1,3,7,I'll miss you too overrated fruit
29,1,3,8,*wetly whispers dark magic*
30,1,3,9,AvaCATo wants you to go the that branch and wait for 8 hours
31,1,3,10,That is such a long time to wait
32,1,3,11,AvaCATo is telling you how to leave listen or don't… AvaCATo no care
33,1,3,12,Meanie!!!
34,1,3,13,AvaCATo heading out now whimp
35,1,3,14,Ugh! Fine!
